time;username;komen;rating;label
5 bulan lalu;Saddam;puas barang bagus buatan lokal kualitas internasional bagus pokok nya untuk ram dan prosessor sangat cukup buat main game baru walaupun dengan settingan LOW tapi ini cuku... ;5;Positif
5 bulan lalu;Moh;ontime dan sdh di terima tpi belum di unboxing..;5;Positif
5 bulan lalu;Bambang;sesuai deskripsi;5;Positif
5 bulan lalu;Agung;barang seep lah mantul 👍;5;Positif
5 bulan lalu;A***i;Value for moneynya bagus banget ini, ryzen5 harga <6jt. Mantap. Admin melayani dengan responsif. Mantap lah axioo , bagus lg rebranding namanya o-nya satu aja menjadi... ;5;Positif
6 bulan lalu;Raka;cocok buat yg nyari performa mantap dengan harga murah 👍;5;Positif
6 bulan lalu;S***o;diprosesnya lama;1;Negatif
6 bulan lalu;Putra;Mantab barang berfungsi dengan Baik… Pelayanan Prima… Sukses Selalu .. puas sekali belanja di sini;5;Positif
6 bulan lalu;zein;Definisi laptop murah bagus kencang. Ya laptop ini.;5;Positif
6 bulan lalu;N***a;barang bagus pengiriman cepat, senang liat axioo tambah maju. smoga kdepannya bisa ada ryzen 7 dan 9;5;Positif
6 bulan lalu;Gandi;manteb barangnya tapi sayang aga PHP katanya bisa kirim hari yang sama ternyata hari berikutnyA;5;Positif
6 bulan lalu;Teguh;seller fast respon.. komunikatif.. packing rapi dan aman.. produk sesuai pesanan, dan berfungsi dengan baik.. bonus sesuai yg dijanjikan.. terimakasih.. smoga semakin la... ;5;Positif
7 bulan lalu;Andre;Naise, barangnya bagus;5;Positif
7 bulan lalu;Nur;Laptop nya bagus. semoga awet...;5;Positif
7 bulan lalu;Heka;mantap kak terpercaya awalnya mouse dan sleevecase nya ketggalan tapi dikirim ulang juga.. makasih bnyak lhoo kak :);5;Positif
7 bulan lalu;Ari;sipp gan, joss banget;5;Positif
7 bulan lalu;Ricky;joossssss,ini baru laptop;5;Positif
7 bulan lalu;M***d;Produksi lokal yang tidak kalah dengan brand luar dengan harga reasonable. Cintailah Produk Indonesia 😁;5;Positif
9 bulan lalu;E***o;kualitas barang istimewa, sesuai spek dan pelayanan penjualnya fast respon.. terbaik..;5;Positif
9 bulan lalu;Pure;mantep lancar langsung nyala, terimakasih bosqu;5;Positif
6 bulan lalu;Asep;Maaf bgt saya kasih bintang 1 ternyata yg kmarin masalahnya bkn blm diinstal windows tpi ssdnya ga berfungsi, akhirnya panggil tukang service minta ganti ssd baru.. padah... ;1;Negatif
7 bulan lalu;B***a;pengiriman lama, barang tidak sesuai, barang 3 kali kurang.;1;Negatif
7 bulan lalu;A***a;ram tidak berfungsi laptop blackscreen saat di hidupkan;1;Negatif
7 bulan lalu;V***t;sesuai dengan spesifikasi;5;Positif
7 bulan lalu;Hiida;kondisi barang bagus, datang dengan tanpa cacat. mouse nya ketinggalan, akhirnya dikirim lg sm penjualnya, dikasih bonus tas lg, jd dapet tas 2. thanks min. sukses selalu... ;5;Positif
8 bulan lalu;Jaya;Sebelumnya sempet was was... tapi semua terkendali. Semoga amanah...good;5;Positif
8 bulan lalu;Anggara;kurang bagus karena ssd dan ram tidak berfungsi;2;Negatif
9 bulan lalu;A***n;mantap banget laptopnya sesuai dengan spek dan murah;5;Positif
9 bulan lalu;Sky;barang yg dikirim sesuai pesanan, packingnya ckup aman, cepat responnya masih tersegel, fungsinya mantap sprti baru, awal update sistem aja yg agak lalod tpi setelah upda... ;5;Positif
9 bulan lalu;H***o;respon penjual cepat dan juga pengiriman cepat sekali;5;Positif
9 bulan lalu;febri;pengiriman cepat barang bagus original;5;Positif
9 bulan lalu;rexzy;respon admin bagus, pengiriman bagus tapi speaker laptopnya cuma sebelah yg bunyi😥;4;Positif
10 bulan lalu;D***i;layar laptop dan hdd bermasalah ;2;Negatif
10 bulan lalu;Rahmi;Sesuai deskripsi…pengiriman lumayan cepat…makasih seller…makasih tokopedia 👍;5;Positif
11 bulan lalu;Putri;alhamdulillah barang sampai dengan selamat..;5;Positif
11 bulan lalu;Muhammad;terima kasih, laptopnya bagus, sesuai spesifikasi, pelayanan cepat, pokoknya ok banget;5;Positif
12 bulan lalu;R***e;unyu banget deh bentuknya... packing oke, pelayanannya jg ramah... semoga awet😇🙏;5;Positif
Lebih dari 1 tahun lalu;A***i;respon cepat, pengiriman cepat, packing ok, barang ok. recommended.;5;Positif
Lebih dari 1 tahun lalu;Bayu;produk bagus, respon toko cepat;5;Positif
Lebih dari 1 tahun lalu;Farhan;semua berfungsi dgn baik, laptopnya mendarat dgn aman 👍👍;5;Positif
Lebih dari 1 tahun lalu;Irey;ok..barang bagus dan sesuai;5;Positif
Lebih dari 1 tahun lalu;Eria;pokoknya mantaaap tidak mengecewakan. semoga barangnya awet 🙏;5;Positif
Lebih dari 1 tahun lalu;fitriani;brg sesuai pesanan, smoga awet;5;Positif
Lebih dari 1 tahun lalu;I***n;keren laptop axioo ini murah dan bagus;5;Positif
Lebih dari 1 tahun lalu;aditya;mantap, trmksh toko nya gg, recomended deh;5;Positif
Lebih dari 1 tahun lalu;Haris;thanks gan..barang sesuai pesanan..bagus...;5;Positif
Lebih dari 1 tahun lalu;AGUS;mantap kak...6gb ssd252...sesuai pesanan...n di cek semua normal...thanks kak;5;Positif
Lebih dari 1 tahun lalu;M***r;yang dibeli laptop hardis 256 ssd yang dikirim hardis 128 ssd;2;Negatif
Lebih dari 1 tahun lalu;Bunga;Barang nya dateng mulus sesuai ekspetasi nyala masih baru rekomended banget beli di sini amanah;5;Positif
Lebih dari 1 tahun lalu;R***t;sesuai spec, dpt tas tp beda merk dan besar. dpt tambahan mouse juga;5;Positif
6 hari lalu;Fitri;baguuuuuuuuusssse bgt... terima kasih seller.... packing aman pengiriman cepat respon cepat barangnya aman sesuai deskripsi gk nambah RAM aja cepet bgt performa laptopnya,, Tutup Ulasan;5;Positif
1 bulan lalu;Yakobus;laptopnya kencang, apalagi karena sudah ditambahkan ram 8 gb. seller sering balas chat. mantaap;5;Positif
1 bulan lalu;Tsabith;semoga awett, aminnn ✨;5;Positif
1 bulan lalu;recsel;Setelah ada drama menjanjikan kirim hr yg sama, untungnya seller tggjwb dgn omongan..brg tiba dgn aman. Trims kerjasamanya;5;Positif
1 bulan lalu;i***s;Dari segi harga dan spesifikasi laptop ini bagus banget, jangan dilihat dari mereknya, justru bangga pakai brand lokal🤟 Seller sangat cepat dan responsif. Highly recomm... Selengkapnya;5;Positif
2 bulan lalu;ahrisul;Alhamdulillah paket sudah diterima dengan baik dan selamat, sangat rekomended. Jazakallahu khairan;5;Positif
2 bulan lalu;Zaaa;barang bagus dan sesuai yang diiklankan. Pelayanan toko juga bagus, chat responsive dan pengiriman relatif cepat.;5;Positif
3 bulan lalu;A***i;terima kasih sudah diterima dg kondisi baik dan spec sesuai deskripsi +++++;5;Positif
3 bulan lalu;A***o;Seller cooperative & barang retur nya diterima dg baik;5;Positif
3 bulan lalu;Aprian;Kondisi barang sangat baik. Kelengkapan barang dan pengirimannya sangat cepat;5;Positif
4 bulan lalu;Amin;barang tidak bagus, sudah banyak lecet;2;Negatif
5 bulan lalu;hafiz;laptop datang dengan tidak selamat, beberapa bagian tidak berfungsi;1;Negatif
6 bulan lalu;;laptop bagus datang dan sesuai;5;Positif
7 bulan lalu;;hdd laptop bunyi dan saat dicheck ternyata mau badsector;2;Negatif
8 bulan lalu;;laptop bagus namun port usb kurang berfungsi;3;Negatif
3 bulan lalu;Rian;Top banget pokoknya ;5;Positif
5 bulan lalu;Dora;sesuai dengan deskripsi;5;Positif
6 bulan lalu;Ifriandy;Manteb bosku, cuma gak bisa nvme;5;Positif
7 bulan lalu;A***n;pengiriman cepat..barang tiba hari sabtu di ktr shg br senin bisa kasih review.. recomended seller;5;Positif
7 bulan lalu;Marioo;bagus laptopnya, anak saya suka;5;Positif
8 bulan lalu;Badaruddin;paket telah sampai ditempat, respon cepat, ori, sangat memuaskan.. Terima kasih gan;5;Positif
9 bulan lalu;Anita;recomended seller, laptop ok semua ok lengkap mouse, charger, dpt pembersih, cm antigores aja krg rapi pasangnya;5;Positif
11 bulan lalu;B***y;mantap dan bagus;5;Positif
Lebih dari 1 tahun lalu;Khoirul;Performanya mantap.;5;Positif
Lebih dari 1 tahun lalu;josua;kipas laptop tidak berfungsi membuat laptop panas dengan cepat padahal laptop baru di pakai 2 minggu;2;Negatif
